accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.25,0.25,0.2328185560013392,0.21965977375828855,1.59375,0.22598082122348392,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.25953670040120524,0.2476937963824597,-11.0,0.23968178016230973,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.2585830303610847,0.24792441674421373,6.21875,0.24019769115419426,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.2827247273249762,0.27313197506979237,2.1875,0.25318780659648454,4,4,4,4,2,8,0,0,0,0,4
0.0,0.075,0.2619522545924786,0.24581877756281315,-13.25,0.2442784162666603,4,4,4,3,1,8,1,0,1,0,3
0.5,0.5,0.28575702913323076,0.2712368998065318,-4.5,0.2570644954533273,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.28218132621990766,0.2691132098258786,-10.7890625,0.25671127068066096,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.3289631935979169,0.3172018888432907,-3.953125,0.28137570714662796,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.3210668742381252,0.3104816999589617,4.296875,0.27980692178929656,4,4,4,4,1,8,0,0,0,0,4
0.25,0.325,0.32146018681431265,0.3044335299630655,-3.63348388671875,0.28206657569983173,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.3143141681328814,0.298990176966759,-5.296875,0.28046324691484015,4,4,5,4,1,7,1,0,0,0,4
0.0,0.0,0.28288275131959323,0.2690911592700831,0.0,0.2664400845690981,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3045944761876339,0.29218204334307474,-8.5,0.2781180803406432,4,4,4,3,2,8,1,0,1,0,3
0.0,0.0,0.2741350285688705,0.2629638390087673,0.0,0.26421217632361105,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.29672152571198346,0.2866674551078906,5.5625,0.2760015675074305,4,4,4,4,2,8,0,0,0,0,4
0.75,0.75,0.3420493731407851,0.3330007095971015,-13.984375,0.29970148913205896,4,4,5,3,3,7,2,0,1,1,3
0.25,0.25,0.33284443582670664,0.3247006386373913,-0.9375,0.297216414675456,4,4,5,3,1,7,2,0,1,1,3
0.75,0.75,0.374559992244036,0.3672305747736522,13.4541015625,0.3198555939416832,4,4,4,4,3,8,0,0,0,0,4
0.75,0.75,0.4121039930196324,0.405507517296287,-9.7109375,0.3413628142445991,4,4,4,4,3,8,0,0,0,0,4
0.5,0.5,0.42089359371766916,0.4149567655666583,5.75,0.34929467353236915,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.42880423434590226,0.42346108900999246,-16.625,0.3568299398557507,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.38592381091131206,0.38111498010899325,0.0,0.33898844286296315,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3973314298201808,0.39300348209809394,8.375,0.347039020719815,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.35759828683816275,0.35370313388828456,0.0,0.3296870696838243,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.34683845815434644,0.3433328204994561,-18.1875,0.32570271619963304,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.33715461233891175,0.33399953844951047,-2.28125,0.3219175803896514,4,4,4,4,1,8,0,1,1,1,3
0.25,0.325,0.33593915110502054,0.3255995846045594,16.3466796875,0.32207170137016883,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.3023452359945185,0.29303962614410345,0.0,0.3059681163016604,4,4,6,6,0,6,0,2,0,0,4
0.5,0.5,0.32211071239506667,0.3137356635296931,8.09375,0.3156697104865774,4,4,4,4,2,8,0,0,0,0,4
0.75,0.75,0.36489964115555995,0.35736209717672385,1.109375,0.3373862249622485,4,4,4,4,3,8,0,0,0,0,4
0.0,0.0,0.32840967704000396,0.32162588745905146,0.0,0.3205169137141361,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.32056870933600357,0.31446329871314627,-17.28125,0.3169910680284293,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.28851183840240324,0.28301696884183164,0.0,0.30114151462700783,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3096606545621629,0.30471527195764847,-0.78125,0.31108443889565746,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.3036945891059466,0.29924374476188365,15.1015625,0.30803021695087457,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.3233251301953519,0.3193193702856953,-8.25,0.3176287061033308,4,4,5,3,2,7,2,0,1,0,3
0.0,0.0,0.29099261717581676,0.2873874332571258,0.0,0.30174727079816427,4,4,4,4,0,8,0,0,0,0,4
